	v	d	j	frequency
267	IGHV9-4*01	NA	IGHJ2*01	452
268	IGHV1-9*01	IGHD2-6*01	IGHJ3*01	452
269	IGHV1-39*01	NA	IGHJ4*01	450
270	IGHV6-6*02	NA	IGHJ3*01	449
271	IGHV1-47*01	NA	IGHJ1*03	448
272	IGHV1-18*01	NA	IGHJ2*01	447
273	IGHV10-1*02	NA	IGHJ4*01	446
274	IGHV2-2*02	NA	IGHJ3*01	444
275	IGHV1-54*01	NA	IGHJ2*01	443
276	IGHV8-12*01	NA	IGHJ3*01	442
277	IGHV5-17*02	NA	IGHJ3*01	436
278	IGHV1-72*01	IGHD2-6*01	IGHJ2*01	433
279	IGHV2-9*02	NA	IGHJ3*01	432
280	IGHV1-87*01	NA	IGHJ3*01	431
281	IGHV1-54*01	NA	IGHJ3*01	430
282	IGHV1-22*01	NA	IGHJ3*01	429
283	IGHV1S137*01	NA	IGHJ4*01	427
284	IGHV1-74*01	IGHD1-1*01	IGHJ2*01	422
285	IGHV5-4*02	NA	IGHJ1*01	422
286	IGHV1-47*01	NA	IGHJ2*01	415
287	IGHV4-1*02	NA	IGHJ1*01	413
288	IGHV1-77*01	IGHD2-9*02	IGHJ3*01	405
289	IGHV1-9*01	NA	IGHJ1*01	403
290	IGHV6-6*02	NA	IGHJ4*01	402
291	IGHV1-15*01	NA	IGHJ1*03	396
292	IGHV2-5*01	NA	IGHJ2*01	394
293	IGHV3-6*02	NA	IGHJ3*01	388
294	IGHV9-4*01	NA	IGHJ3*01	384
295	IGHV8-5*01	IGHD2-9*02	IGHJ1*03	382
296	IGHV1S127*01	NA	IGHJ3*01	380
297	IGHV1-72*01	IGHD2-3*01	IGHJ1*03	378
298	IGHV10-1*02	NA	IGHJ3*01	377
299	IGHV1-5*01	NA	IGHJ4*01	374
300	IGHV1-19*01	NA	IGHJ1*03	373
301	IGHV9-3-1*01	NA	IGHJ1*01	373
302	IGHV1-81*01	NA	IGHJ4*01	371
303	IGHV5-17*01	NA	IGHJ3*01	369
304	IGHV10S3*01	NA	IGHJ4*01	367
305	IGHV5-9-1*02	NA	IGHJ2*01	363
306	IGHV14-4*01	NA	IGHJ3*02	363
307	IGHV5-6-1*01	IGHD2-9*02	IGHJ3*01	360
308	IGHV3-6*01	IGHD1-1*01	IGHJ4*01	355
309	IGHV2-9*02	NA	IGHJ2*01	354
310	IGHV5-4*01	NA	IGHJ1*03	351
311	IGHV9-3*02	NA	IGHJ3*01	348
312	IGHV1-80*01	IGHD1-1*01	IGHJ1*03	342
313	IGHV5-6-5*01	NA	IGHJ2*01	342
314	IGHV2-5-1*01	NA	IGHJ4*01	341
315	IGHV1-9*01	IGHD1-1*01	IGHJ3*01	340
316	IGHV1-34*02	NA	IGHJ2*01	338
317	IGHV10S3*01	NA	IGHJ3*01	336
318	IGHV1S136*01	IGHD1-1*01	IGHJ4*01	334
319	IGHV1-76*01	NA	IGHJ3*01	332
320	IGHV1-82*01	IGHD1-1*01	IGHJ1*01	331
321	IGHV1-9*01	IGHD1-1*01	IGHJ2*01	331
322	IGHV1-87*01	NA	IGHJ4*01	330
323	IGHV3-6*01	IGHD1-1*01	IGHJ1*03	330
324	IGHV1-42*01	NA	IGHJ2*01	327
325	IGHV1S22*01	NA	IGHJ2*01	325
