	v	d	j	frequency
210	KF698733|IGHV1-2*04|Homo	NA	X86355|IGHJ3*02|Homo	133
211	HM855457|IGHV1-8*02|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ6*02|Homo	132
212	KF698734|IGHV1-69-2*01|Homo	NA	J00256|IGHJ5*01|Homo	132
213	KF698733|IGHV1-2*04|Homo	NA	X86355|IGHJ6*02|Homo	130
214	HM855457|IGHV1-8*02|Homo	X13972|IGHD3-10*01|Homo	J00256|IGHJ2*01|Homo	129
215	Z14300|IGHV1-69*10|Homo	X97051|IGHD1-26*01|Homo	X86355|IGHJ4*02|Homo	128
216	L06612|IGHV1-46*03|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	126
217	X62106|IGHV1-2*02|Homo	X97051|IGHD4-23*01|Homo	X86355|IGHJ4*02|Homo	126
218	Z14300|IGHV1-69*10|Homo	J00234|IGHD2-15*01|Homo	X86356|IGHJ6*03|Homo	125
219	HM855463|IGHV1-18*03|Homo	NA	X86355|IGHJ3*02|Homo	124
220	M99641|IGHV1-18*01|Homo	X97051|IGHD1-26*01|Homo	X86355|IGHJ4*02|Homo	123
221	L06612|IGHV1-46*03|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	123
222	KC713934|IGHV1-69D*01|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ5*02|Homo	122
223	KF698734|IGHV1-69-2*01|Homo	X97051|IGHD3-16*02|Homo	X86355|IGHJ4*02|Homo	121
224	KC713938|IGHV1-18*04|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	121
225	KC713938|IGHV1-18*04|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	121
226	X62106|IGHV1-2*02|Homo	X93615|IGHD3-10*02|Homo	X86355|IGHJ4*02|Homo	121
227	KC713934|IGHV1-69D*01|Homo	X55584|IGHD5/OR15-5b*01|Homo	X86355|IGHJ4*02|Homo	120
228	HM855457|IGHV1-8*02|Homo	NA	M25625|IGHJ4*03|Homo	120
229	L06612|IGHV1-46*03|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	118
230	HM855457|IGHV1-8*02|Homo	X93616|IGHD3-22*01|Homo	X86356|IGHJ6*03|Homo	117
231	KC713934|IGHV1-69D*01|Homo	J00235|IGHD2-21*01|Homo	X86355|IGHJ3*02|Homo	112
232	M99642|IGHV1-24*01|Homo	NA	J00256|IGHJ1*01|Homo	112
233	Z14214|IGHV1-69*13|Homo	X93616|IGHD3-22*01|Homo	J00256|IGHJ1*01|Homo	111
234	Z14214|IGHV1-69*13|Homo	X13972|IGHD5-5*01|Homo	X86355|IGHJ4*02|Homo	110
235	Z12367|IGHV4-38-2*01|Homo	NA	J00256|IGHJ2*01|Homo	110
236	X62106|IGHV1-2*02|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ6*02|Homo	110
237	KF698734|IGHV1-69-2*01|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ4*02|Homo	110
238	X62106|IGHV1-2*02|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ3*02|Homo	110
239	HM855457|IGHV1-8*02|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ5*02|Homo	109
240	Z14300|IGHV1-69*10|Homo	NA	X86355|IGHJ6*02|Homo	107
241	X62106|IGHV1-2*02|Homo	X97051|IGHD6-19*01|Homo	X86356|IGHJ6*03|Homo	107
242	X92343|IGHV1-46*01|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ4*02|Homo	103
243	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ3*01|Homo	103
244	M99637|IGHV1-8*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	103
245	KC713938|IGHV1-18*04|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ5*02|Homo	103
246	X62106|IGHV1-2*02|Homo	X13972|IGHD5-5*01|Homo	X86355|IGHJ3*02|Homo	103
247	X62106|IGHV1-2*02|Homo	X93616|IGHD3-22*01|Homo	J00256|IGHJ1*01|Homo	102
