	V	D	J	N152	IAVI84
1198	IGHV1-69*13	IGHD3-10*02	IGHJ6*04	NA	6.0
1199	IGHV1-69*13	IGHD3-16*01	IGHJ4*02	NA	2.0
1200	IGHV1-69*13	IGHD3-16*02	IGHJ2*01	NA	6.0
1201	IGHV1-69*13	IGHD3-16*02	IGHJ3*02	NA	19.0
1202	IGHV1-69*13	IGHD3-16*02	IGHJ4*02	NA	98.0
1203	IGHV1-69*13	IGHD3-16*02	IGHJ5*02	NA	1.0
1204	IGHV1-69*13	IGHD3-16*02	IGHJ6*02	NA	3.0
1205	IGHV1-69*13	IGHD3-16*02	IGHJ6*03	NA	4.0
1206	IGHV1-69*13	IGHD3-22*01	IGHJ1*01	NA	111.0
1207	IGHV1-69*13	IGHD3-22*01	IGHJ2*01	NA	20.0
1208	IGHV1-69*13	IGHD3-22*01	IGHJ3*01	NA	3.0
1209	IGHV1-69*13	IGHD3-22*01	IGHJ3*02	NA	171.0
1210	IGHV1-69*13	IGHD3-22*01	IGHJ4*02	NA	689.0
1211	IGHV1-69*13	IGHD3-22*01	IGHJ4*03	NA	2.0
1212	IGHV1-69*13	IGHD3-22*01	IGHJ5*02	NA	746.0
1213	IGHV1-69*13	IGHD3-22*01	IGHJ6*02	NA	34.0
1214	IGHV1-69*13	IGHD3-22*01	IGHJ6*03	NA	7.0
1215	IGHV1-69*13	IGHD3-22*01	IGHJ6*04	NA	1.0
1216	IGHV1-69*13	IGHD3-9*01	IGHJ1*01	NA	2.0
1217	IGHV1-69*13	IGHD3-9*01	IGHJ3*02	NA	346.0
1218	IGHV1-69*13	IGHD3-9*01	IGHJ4*02	NA	242.0
1219	IGHV1-69*13	IGHD3-9*01	IGHJ5*02	NA	48.0
1220	IGHV1-69*13	IGHD3-9*01	IGHJ6*02	NA	41.0
1221	IGHV1-69*13	IGHD3-9*01	IGHJ6*03	NA	11.0
1222	IGHV1-69*13	IGHD3/OR15-3b*01	IGHJ4*02	NA	1.0
1223	IGHV1-69*13	IGHD4-17*01	IGHJ3*02	NA	1.0
1224	IGHV1-69*13	IGHD4-17*01	IGHJ4*02	NA	5.0
1225	IGHV1-69*13	IGHD4-17*01	IGHJ5*02	NA	29.0
1226	IGHV1-69*13	IGHD4-17*01	IGHJ6*02	NA	3.0
1227	IGHV1-69*13	IGHD4-23*01	IGHJ3*02	NA	56.0
1228	IGHV1-69*13	IGHD4-23*01	IGHJ4*02	NA	12.0
1229	IGHV1-69*13	IGHD4-23*01	IGHJ5*02	NA	21.0
1230	IGHV1-69*13	IGHD4-23*01	IGHJ6*03	NA	2.0
1231	IGHV1-69*13	IGHD5-12*01	IGHJ3*02	NA	69.0
1232	IGHV1-69*13	IGHD5-12*01	IGHJ4*02	NA	63.0
1233	IGHV1-69*13	IGHD5-12*01	IGHJ4*03	NA	2.0
1234	IGHV1-69*13	IGHD5-12*01	IGHJ5*02	NA	78.0
1235	IGHV1-69*13	IGHD5-12*01	IGHJ6*01	NA	1.0
1236	IGHV1-69*13	IGHD5-12*01	IGHJ6*02	NA	75.0
1237	IGHV1-69*13	IGHD5-12*01	IGHJ6*03	NA	4.0
1238	IGHV1-69*13	IGHD5-12*01	IGHJ6*04	NA	2.0
1239	IGHV1-69*13	IGHD5-24*01	IGHJ2*01	NA	1.0
1240	IGHV1-69*13	IGHD5-24*01	IGHJ3*02	NA	41.0
1241	IGHV1-69*13	IGHD5-24*01	IGHJ4*02	NA	179.0
1242	IGHV1-69*13	IGHD5-24*01	IGHJ5*02	NA	1.0
1243	IGHV1-69*13	IGHD5-24*01	IGHJ6*02	NA	1.0
1244	IGHV1-69*13	IGHD5-24*01	IGHJ6*03	NA	1.0
1245	IGHV1-69*13	IGHD5-5*01	IGHJ3*02	NA	12.0
1246	IGHV1-69*13	IGHD5-5*01	IGHJ4*02	NA	110.0
1247	IGHV1-69*13	IGHD5-5*01	IGHJ4*03	NA	1.0
1248	IGHV1-69*13	IGHD5-5*01	IGHJ6*02	NA	20.0
1249	IGHV1-69*13	IGHD5-5*01	IGHJ6*03	NA	8.0
1250	IGHV1-69*13	IGHD5-5*01	IGHJ6*04	NA	1.0
1251	IGHV1-69*13	IGHD5/OR15-5b*01	IGHJ4*02	NA	25.0
1252	IGHV1-69*13	IGHD5/OR15-5b*01	IGHJ5*02	NA	49.0
1253	IGHV1-69*13	IGHD5/OR15-5b*01	IGHJ6*02	NA	25.0
1254	IGHV1-69*13	IGHD6-13*01	IGHJ1*01	NA	2.0
1255	IGHV1-69*13	IGHD6-13*01	IGHJ2*01	NA	17.0
1256	IGHV1-69*13	IGHD6-13*01	IGHJ3*01	NA	6.0
1257	IGHV1-69*13	IGHD6-13*01	IGHJ3*02	NA	146.0
1258	IGHV1-69*13	IGHD6-13*01	IGHJ4*02	NA	53.0
1259	IGHV1-69*13	IGHD6-13*01	IGHJ5*02	NA	16.0
1260	IGHV1-69*13	IGHD6-13*01	IGHJ6*02	NA	1.0
1261	IGHV1-69*13	IGHD6-13*01	IGHJ6*03	NA	5.0
1262	IGHV1-69*13	IGHD6-19*01	IGHJ1*01	NA	2.0
1263	IGHV1-69*13	IGHD6-19*01	IGHJ2*01	NA	14.0
1264	IGHV1-69*13	IGHD6-19*01	IGHJ3*01	NA	1.0
1265	IGHV1-69*13	IGHD6-19*01	IGHJ3*02	NA	2.0
1266	IGHV1-69*13	IGHD6-19*01	IGHJ4*01	NA	1.0
1267	IGHV1-69*13	IGHD6-19*01	IGHJ4*02	NA	229.0
1268	IGHV1-69*13	IGHD6-19*01	IGHJ5*01	NA	1.0
1269	IGHV1-69*13	IGHD6-19*01	IGHJ5*02	NA	10.0
1270	IGHV1-69*13	IGHD6-19*01	IGHJ6*02	NA	31.0
1271	IGHV1-69*13	IGHD6-19*01	IGHJ6*03	NA	5.0
1272	IGHV1-69*13	NA	IGHJ1*01	NA	47.0
1273	IGHV1-69*13	NA	IGHJ2*01	NA	178.0
1274	IGHV1-69*13	NA	IGHJ3*01	NA	245.0
1275	IGHV1-69*13	NA	IGHJ3*02	NA	3902.0
1276	IGHV1-69*13	NA	IGHJ4*01	NA	8.0
1277	IGHV1-69*13	NA	IGHJ4*02	NA	3740.0
1278	IGHV1-69*13	NA	IGHJ4*03	NA	34.0
1279	IGHV1-69*13	NA	IGHJ5*01	NA	18.0
1280	IGHV1-69*13	NA	IGHJ5*02	NA	1260.0
1281	IGHV1-69*13	NA	IGHJ6*01	NA	242.0
1282	IGHV1-69*13	NA	IGHJ6*02	NA	3096.0
1283	IGHV1-69*13	NA	IGHJ6*03	1.0	516.0
1284	IGHV1-69*13	NA	IGHJ6*04	NA	77.0
1285	IGHV1-69*14	IGHD1-26*01	IGHJ4*02	NA	1.0
1286	IGHV1-69*14	IGHD2-15*01	IGHJ4*02	NA	46.0
1287	IGHV1-69*14	IGHD2-15*01	IGHJ5*02	NA	2.0
1288	IGHV1-69*14	IGHD2-15*01	IGHJ6*03	NA	3.0
1289	IGHV1-69*14	IGHD2-2*02	IGHJ5*02	NA	32.0
1290	IGHV1-69*14	IGHD2-2*03	IGHJ3*02	NA	1.0
1291	IGHV1-69*14	IGHD2-2*03	IGHJ4*01	NA	1.0
1292	IGHV1-69*14	IGHD2-2*03	IGHJ4*02	NA	7.0
1293	IGHV1-69*14	IGHD2-2*03	IGHJ5*02	NA	5.0
1294	IGHV1-69*14	IGHD2-8*02	IGHJ3*02	NA	1.0
1295	IGHV1-69*14	IGHD3-10*01	IGHJ1*01	NA	2.0
1296	IGHV1-69*14	IGHD3-10*01	IGHJ3*02	NA	3.0
1297	IGHV1-69*14	IGHD3-10*01	IGHJ4*02	NA	39.0
1298	IGHV1-69*14	IGHD3-10*01	IGHJ4*03	NA	1.0
1299	IGHV1-69*14	IGHD3-10*01	IGHJ5*02	NA	3.0
1300	IGHV1-69*14	IGHD3-10*01	IGHJ6*02	NA	2.0
1301	IGHV1-69*14	IGHD3-10*01	IGHJ6*03	NA	6.0
1302	IGHV1-69*14	IGHD3-10*01	IGHJ6*04	NA	1.0
1303	IGHV1-69*14	IGHD3-10*02	IGHJ4*02	NA	1.0
1304	IGHV1-69*14	IGHD3-10*02	IGHJ6*03	NA	1.0
1305	IGHV1-69*14	IGHD3-16*02	IGHJ3*02	NA	1.0
1306	IGHV1-69*14	IGHD3-16*02	IGHJ4*02	NA	5.0
1307	IGHV1-69*14	IGHD3-16*02	IGHJ6*03	NA	53.0
1308	IGHV1-69*14	IGHD3-22*01	IGHJ1*01	NA	1.0
1309	IGHV1-69*14	IGHD3-22*01	IGHJ3*02	NA	92.0
1310	IGHV1-69*14	IGHD3-22*01	IGHJ4*02	NA	23.0
1311	IGHV1-69*14	IGHD3-22*01	IGHJ4*03	1.0	NA
1312	IGHV1-69*14	IGHD3-22*01	IGHJ6*03	NA	1.0
1313	IGHV1-69*14	IGHD3-9*01	IGHJ3*02	NA	1.0
1314	IGHV1-69*14	IGHD3-9*01	IGHJ4*02	NA	3.0
1315	IGHV1-69*14	IGHD3-9*01	IGHJ5*02	NA	27.0
1316	IGHV1-69*14	IGHD3-9*01	IGHJ6*03	NA	6.0
1317	IGHV1-69*14	IGHD3-9*01	IGHJ6*04	NA	8.0
1318	IGHV1-69*14	IGHD4-17*01	IGHJ5*02	NA	1.0
1319	IGHV1-69*14	IGHD4-23*01	IGHJ3*02	NA	1.0
1320	IGHV1-69*14	IGHD5-12*01	IGHJ3*02	NA	2.0
1321	IGHV1-69*14	IGHD5-12*01	IGHJ4*02	NA	2.0
1322	IGHV1-69*14	IGHD5-12*01	IGHJ5*02	NA	2.0
1323	IGHV1-69*14	IGHD5-24*01	IGHJ4*02	NA	25.0
1324	IGHV1-69*14	IGHD5-5*01	IGHJ3*02	NA	1.0
1325	IGHV1-69*14	IGHD5-5*01	IGHJ4*02	NA	7.0
1326	IGHV1-69*14	IGHD5-5*01	IGHJ5*02	NA	1.0
1327	IGHV1-69*14	IGHD5-5*01	IGHJ6*03	NA	3.0
1328	IGHV1-69*14	IGHD6-13*01	IGHJ3*02	NA	1.0
1329	IGHV1-69*14	IGHD6-13*01	IGHJ4*02	NA	8.0
1330	IGHV1-69*14	IGHD6-13*01	IGHJ6*03	NA	1.0
1331	IGHV1-69*14	IGHD6-19*01	IGHJ3*02	NA	1.0
1332	IGHV1-69*14	IGHD6-19*01	IGHJ4*02	NA	5.0
1333	IGHV1-69*14	IGHD6-19*01	IGHJ5*02	NA	2.0
1334	IGHV1-69*14	IGHD6-19*01	IGHJ6*02	NA	1.0
1335	IGHV1-69*14	IGHD6-19*01	IGHJ6*03	NA	2.0
1336	IGHV1-69*14	NA	IGHJ1*01	NA	143.0
1337	IGHV1-69*14	NA	IGHJ2*01	NA	9.0
1338	IGHV1-69*14	NA	IGHJ3*01	NA	4.0
1339	IGHV1-69*14	NA	IGHJ3*02	NA	187.0
1340	IGHV1-69*14	NA	IGHJ4*01	NA	1.0
1341	IGHV1-69*14	NA	IGHJ4*02	1.0	1921.0
1342	IGHV1-69*14	NA	IGHJ4*03	NA	36.0
1343	IGHV1-69*14	NA	IGHJ5*01	NA	73.0
1344	IGHV1-69*14	NA	IGHJ5*02	1.0	706.0
1345	IGHV1-69*14	NA	IGHJ6*01	NA	1.0
1346	IGHV1-69*14	NA	IGHJ6*02	NA	225.0
1347	IGHV1-69*14	NA	IGHJ6*03	NA	509.0
1348	IGHV1-69*14	NA	IGHJ6*04	NA	56.0
1349	IGHV1-69-2*01	IGHD1-26*01	IGHJ2*01	NA	1.0
1350	IGHV1-69-2*01	IGHD1-26*01	IGHJ4*02	NA	4.0
1351	IGHV1-69-2*01	IGHD2-15*01	IGHJ4*02	NA	3.0
1352	IGHV1-69-2*01	IGHD2-15*01	IGHJ5*02	NA	4.0
1353	IGHV1-69-2*01	IGHD2-2*02	IGHJ5*02	NA	10.0
1354	IGHV1-69-2*01	IGHD2-2*02	IGHJ6*03	NA	1.0
1355	IGHV1-69-2*01	IGHD2-2*03	IGHJ5*02	NA	3.0
1356	IGHV1-69-2*01	IGHD2-2*03	IGHJ6*02	NA	1.0
1357	IGHV1-69-2*01	IGHD2-2*03	IGHJ6*03	NA	38.0
1358	IGHV1-69-2*01	IGHD2-21*01	IGHJ3*02	NA	1.0
1359	IGHV1-69-2*01	IGHD2-21*02	IGHJ3*02	NA	1.0
1360	IGHV1-69-2*01	IGHD2-21*02	IGHJ4*02	NA	6.0
1361	IGHV1-69-2*01	IGHD2-21*02	IGHJ5*02	NA	1.0
1362	IGHV1-69-2*01	IGHD3-10*01	IGHJ1*01	NA	3.0
1363	IGHV1-69-2*01	IGHD3-10*01	IGHJ2*01	NA	17.0
1364	IGHV1-69-2*01	IGHD3-10*01	IGHJ3*02	NA	52.0
1365	IGHV1-69-2*01	IGHD3-10*01	IGHJ4*02	NA	28.0
1366	IGHV1-69-2*01	IGHD3-10*01	IGHJ4*03	NA	2.0
1367	IGHV1-69-2*01	IGHD3-10*01	IGHJ5*02	NA	9.0
1368	IGHV1-69-2*01	IGHD3-10*01	IGHJ6*02	NA	1.0
1369	IGHV1-69-2*01	IGHD3-10*01	IGHJ6*03	NA	6.0
1370	IGHV1-69-2*01	IGHD3-10*02	IGHJ6*02	NA	1.0
1371	IGHV1-69-2*01	IGHD3-16*02	IGHJ4*02	NA	119.0
1372	IGHV1-69-2*01	IGHD3-16*02	IGHJ5*02	NA	1.0
1373	IGHV1-69-2*01	IGHD3-16*02	IGHJ6*03	NA	5.0
1374	IGHV1-69-2*01	IGHD3-22*01	IGHJ1*01	NA	2.0
1375	IGHV1-69-2*01	IGHD3-22*01	IGHJ2*01	NA	1.0
1376	IGHV1-69-2*01	IGHD3-22*01	IGHJ3*02	NA	23.0
1377	IGHV1-69-2*01	IGHD3-22*01	IGHJ4*02	NA	154.0
1378	IGHV1-69-2*01	IGHD3-22*01	IGHJ4*03	NA	1.0
1379	IGHV1-69-2*01	IGHD3-22*01	IGHJ5*02	NA	14.0
1380	IGHV1-69-2*01	IGHD3-22*01	IGHJ6*02	NA	1.0
1381	IGHV1-69-2*01	IGHD3-9*01	IGHJ3*02	NA	4.0
1382	IGHV1-69-2*01	IGHD3-9*01	IGHJ4*01	NA	1.0
1383	IGHV1-69-2*01	IGHD3-9*01	IGHJ4*02	NA	1.0
1384	IGHV1-69-2*01	IGHD3-9*01	IGHJ5*02	NA	1.0
1385	IGHV1-69-2*01	IGHD4-17*01	IGHJ4*02	NA	1.0
1386	IGHV1-69-2*01	IGHD4-17*01	IGHJ5*02	NA	1.0
1387	IGHV1-69-2*01	IGHD4-23*01	IGHJ4*02	NA	1.0
1388	IGHV1-69-2*01	IGHD5-12*01	IGHJ3*02	NA	15.0
1389	IGHV1-69-2*01	IGHD5-12*01	IGHJ4*01	NA	1.0
1390	IGHV1-69-2*01	IGHD5-12*01	IGHJ4*02	NA	17.0
1391	IGHV1-69-2*01	IGHD5-5*01	IGHJ4*02	NA	3.0
1392	IGHV1-69-2*01	IGHD5-5*01	IGHJ5*02	NA	18.0
1393	IGHV1-69-2*01	IGHD5-5*01	IGHJ6*02	NA	1.0
1394	IGHV1-69-2*01	IGHD6-13*01	IGHJ3*02	NA	2.0
1395	IGHV1-69-2*01	IGHD6-13*01	IGHJ4*02	NA	109.0
1396	IGHV1-69-2*01	IGHD6-13*01	IGHJ4*03	NA	2.0
1397	IGHV1-69-2*01	IGHD6-13*01	IGHJ5*02	NA	3.0
1398	IGHV1-69-2*01	IGHD6-13*01	IGHJ6*03	NA	1.0
1399	IGHV1-69-2*01	IGHD6-19*01	IGHJ1*01	NA	1.0
1400	IGHV1-69-2*01	IGHD6-19*01	IGHJ3*02	NA	10.0
1401	IGHV1-69-2*01	IGHD6-19*01	IGHJ4*02	NA	21.0
1402	IGHV1-69-2*01	IGHD6-19*01	IGHJ5*02	NA	1.0
1403	IGHV1-69-2*01	NA	IGHJ1*01	NA	43.0
1404	IGHV1-69-2*01	NA	IGHJ2*01	NA	89.0
1405	IGHV1-69-2*01	NA	IGHJ3*01	NA	18.0
1406	IGHV1-69-2*01	NA	IGHJ3*02	NA	412.0
1407	IGHV1-69-2*01	NA	IGHJ4*01	NA	1.0
1408	IGHV1-69-2*01	NA	IGHJ4*02	NA	1816.0
1409	IGHV1-69-2*01	NA	IGHJ4*03	NA	18.0
1410	IGHV1-69-2*01	NA	IGHJ5*01	NA	132.0
1411	IGHV1-69-2*01	NA	IGHJ5*02	NA	556.0
1412	IGHV1-69-2*01	NA	IGHJ6*01	NA	1.0
1413	IGHV1-69-2*01	NA	IGHJ6*02	NA	21.0
1414	IGHV1-69-2*01	NA	IGHJ6*03	NA	416.0
1415	IGHV1-69-2*01	NA	IGHJ6*04	NA	65.0
1416	IGHV1-69D*01	IGHD1-1*01	IGHJ3*02	NA	1.0
1417	IGHV1-69D*01	IGHD1-1*01	IGHJ4*02	NA	1.0
1418	IGHV1-69D*01	IGHD1-20*01	IGHJ3*02	NA	1.0
1419	IGHV1-69D*01	IGHD1-20*01	IGHJ6*03	NA	2.0
1420	IGHV1-69D*01	IGHD1-26*01	IGHJ2*01	NA	1.0
1421	IGHV1-69D*01	IGHD1-26*01	IGHJ3*02	NA	1.0
1422	IGHV1-69D*01	IGHD1-26*01	IGHJ4*02	NA	13.0
1423	IGHV1-69D*01	IGHD1-26*01	IGHJ5*02	NA	3.0
1424	IGHV1-69D*01	IGHD2-15*01	IGHJ1*01	NA	1.0
1425	IGHV1-69D*01	IGHD2-15*01	IGHJ3*02	NA	33.0
1426	IGHV1-69D*01	IGHD2-15*01	IGHJ4*02	NA	94.0
1427	IGHV1-69D*01	IGHD2-15*01	IGHJ4*03	NA	3.0
1428	IGHV1-69D*01	IGHD2-15*01	IGHJ5*02	NA	64.0
1429	IGHV1-69D*01	IGHD2-15*01	IGHJ6*02	NA	14.0
1430	IGHV1-69D*01	IGHD2-15*01	IGHJ6*03	NA	32.0
1431	IGHV1-69D*01	IGHD2-2*02	IGHJ2*01	NA	2.0
1432	IGHV1-69D*01	IGHD2-2*02	IGHJ4*02	NA	3.0
1433	IGHV1-69D*01	IGHD2-2*02	IGHJ5*02	NA	1841.0
1434	IGHV1-69D*01	IGHD2-2*02	IGHJ6*02	NA	1.0
1435	IGHV1-69D*01	IGHD2-2*03	IGHJ1*01	NA	4.0
1436	IGHV1-69D*01	IGHD2-2*03	IGHJ3*02	NA	1.0
1437	IGHV1-69D*01	IGHD2-2*03	IGHJ4*02	NA	57.0
1438	IGHV1-69D*01	IGHD2-2*03	IGHJ5*02	NA	121.0
1439	IGHV1-69D*01	IGHD2-2*03	IGHJ6*02	NA	3.0
1440	IGHV1-69D*01	IGHD2-2*03	IGHJ6*03	NA	34.0
1441	IGHV1-69D*01	IGHD2-2*03	IGHJ6*04	NA	1.0
1442	IGHV1-69D*01	IGHD2-21*01	IGHJ3*02	NA	112.0
1443	IGHV1-69D*01	IGHD2-21*02	IGHJ2*01	NA	2.0
1444	IGHV1-69D*01	IGHD2-21*02	IGHJ3*02	NA	9.0
1445	IGHV1-69D*01	IGHD2-21*02	IGHJ4*02	1.0	17.0
1446	IGHV1-69D*01	IGHD2-21*02	IGHJ5*02	NA	13.0
1447	IGHV1-69D*01	IGHD2-21*02	IGHJ6*03	NA	11.0
1448	IGHV1-69D*01	IGHD2/OR15-2b*01	IGHJ1*01	NA	2.0
1449	IGHV1-69D*01	IGHD3-10*01	IGHJ1*01	NA	41.0
1450	IGHV1-69D*01	IGHD3-10*01	IGHJ2*01	NA	2.0
1451	IGHV1-69D*01	IGHD3-10*01	IGHJ3*01	NA	1.0
1452	IGHV1-69D*01	IGHD3-10*01	IGHJ3*02	NA	170.0
1453	IGHV1-69D*01	IGHD3-10*01	IGHJ4*02	NA	405.0
1454	IGHV1-69D*01	IGHD3-10*01	IGHJ5*02	NA	401.0
1455	IGHV1-69D*01	IGHD3-10*01	IGHJ6*02	NA	20.0
1456	IGHV1-69D*01	IGHD3-10*01	IGHJ6*03	NA	245.0
1457	IGHV1-69D*01	IGHD3-10*01	IGHJ6*04	NA	4.0
1458	IGHV1-69D*01	IGHD3-10*02	IGHJ3*02	NA	3.0
1459	IGHV1-69D*01	IGHD3-10*02	IGHJ4*02	NA	5.0
1460	IGHV1-69D*01	IGHD3-10*02	IGHJ6*02	NA	40.0
1461	IGHV1-69D*01	IGHD3-10*02	IGHJ6*03	NA	2.0
1462	IGHV1-69D*01	IGHD3-16*02	IGHJ1*01	NA	1.0
1463	IGHV1-69D*01	IGHD3-16*02	IGHJ3*02	NA	2.0
1464	IGHV1-69D*01	IGHD3-16*02	IGHJ4*02	NA	15.0
1465	IGHV1-69D*01	IGHD3-16*02	IGHJ5*02	NA	1.0
1466	IGHV1-69D*01	IGHD3-16*02	IGHJ6*02	NA	1.0
1467	IGHV1-69D*01	IGHD3-16*02	IGHJ6*03	NA	6.0
1468	IGHV1-69D*01	IGHD3-22*01	IGHJ1*01	NA	27.0
1469	IGHV1-69D*01	IGHD3-22*01	IGHJ2*01	NA	5.0
1470	IGHV1-69D*01	IGHD3-22*01	IGHJ3*01	NA	1.0
1471	IGHV1-69D*01	IGHD3-22*01	IGHJ3*02	NA	150.0
1472	IGHV1-69D*01	IGHD3-22*01	IGHJ4*01	NA	1.0
1473	IGHV1-69D*01	IGHD3-22*01	IGHJ4*02	1.0	510.0
1474	IGHV1-69D*01	IGHD3-22*01	IGHJ4*03	NA	2.0
1475	IGHV1-69D*01	IGHD3-22*01	IGHJ5*02	NA	170.0
1476	IGHV1-69D*01	IGHD3-22*01	IGHJ6*02	NA	8.0
1477	IGHV1-69D*01	IGHD3-22*01	IGHJ6*03	NA	34.0
1478	IGHV1-69D*01	IGHD3-22*01	IGHJ6*04	NA	10.0
1479	IGHV1-69D*01	IGHD3-9*01	IGHJ3*02	NA	25.0
1480	IGHV1-69D*01	IGHD3-9*01	IGHJ4*02	NA	44.0
1481	IGHV1-69D*01	IGHD3-9*01	IGHJ5*02	NA	11.0
1482	IGHV1-69D*01	IGHD3-9*01	IGHJ6*02	NA	11.0
1483	IGHV1-69D*01	IGHD3-9*01	IGHJ6*03	NA	16.0
1484	IGHV1-69D*01	IGHD3/OR15-3b*01	IGHJ3*02	NA	1.0
1485	IGHV1-69D*01	IGHD4-17*01	IGHJ3*02	NA	2.0
1486	IGHV1-69D*01	IGHD4-17*01	IGHJ4*02	NA	12.0
1487	IGHV1-69D*01	IGHD4-17*01	IGHJ5*02	NA	7.0
1488	IGHV1-69D*01	IGHD4-17*01	IGHJ6*02	NA	3.0
1489	IGHV1-69D*01	IGHD4-23*01	IGHJ2*01	NA	1.0
1490	IGHV1-69D*01	IGHD4-23*01	IGHJ3*02	NA	4.0
1491	IGHV1-69D*01	IGHD4-23*01	IGHJ4*02	NA	20.0
1492	IGHV1-69D*01	IGHD4-23*01	IGHJ6*02	NA	1.0
1493	IGHV1-69D*01	IGHD5-12*01	IGHJ3*02	NA	6.0
1494	IGHV1-69D*01	IGHD5-12*01	IGHJ4*02	NA	33.0
1495	IGHV1-69D*01	IGHD5-12*01	IGHJ5*02	NA	7.0
1496	IGHV1-69D*01	IGHD5-12*01	IGHJ6*02	NA	8.0
1497	IGHV1-69D*01	IGHD5-12*01	IGHJ6*03	NA	32.0
1498	IGHV1-69D*01	IGHD5-12*01	IGHJ6*04	NA	1.0
1499	IGHV1-69D*01	IGHD5-24*01	IGHJ3*02	NA	5.0
1500	IGHV1-69D*01	IGHD5-24*01	IGHJ4*02	NA	44.0
1501	IGHV1-69D*01	IGHD5-24*01	IGHJ4*03	NA	1.0
1502	IGHV1-69D*01	IGHD5-24*01	IGHJ5*02	NA	6.0
1503	IGHV1-69D*01	IGHD5-24*01	IGHJ6*03	NA	4.0
1504	IGHV1-69D*01	IGHD5-5*01	IGHJ2*01	NA	1.0
1505	IGHV1-69D*01	IGHD5-5*01	IGHJ4*02	NA	18.0
1506	IGHV1-69D*01	IGHD5-5*01	IGHJ5*02	NA	3.0
1507	IGHV1-69D*01	IGHD5-5*01	IGHJ6*02	NA	5.0
1508	IGHV1-69D*01	IGHD5-5*01	IGHJ6*03	NA	32.0
1509	IGHV1-69D*01	IGHD5/OR15-5b*01	IGHJ4*02	NA	119.0
1510	IGHV1-69D*01	IGHD5/OR15-5b*01	IGHJ4*03	NA	1.0
1511	IGHV1-69D*01	IGHD5/OR15-5b*01	IGHJ5*02	NA	3.0
1512	IGHV1-69D*01	IGHD5/OR15-5b*01	IGHJ6*02	NA	3.0
1513	IGHV1-69D*01	IGHD6-13*01	IGHJ2*01	NA	1.0
1514	IGHV1-69D*01	IGHD6-13*01	IGHJ3*01	NA	1.0
1515	IGHV1-69D*01	IGHD6-13*01	IGHJ3*02	NA	17.0
1516	IGHV1-69D*01	IGHD6-13*01	IGHJ4*02	NA	34.0
1517	IGHV1-69D*01	IGHD6-13*01	IGHJ5*02	NA	23.0
1518	IGHV1-69D*01	IGHD6-13*01	IGHJ6*03	NA	6.0
1519	IGHV1-69D*01	IGHD6-19*01	IGHJ1*01	NA	2.0
1520	IGHV1-69D*01	IGHD6-19*01	IGHJ3*02	NA	3.0
1521	IGHV1-69D*01	IGHD6-19*01	IGHJ4*02	NA	33.0
1522	IGHV1-69D*01	IGHD6-19*01	IGHJ5*02	NA	3.0
1523	IGHV1-69D*01	IGHD6-19*01	IGHJ6*02	NA	6.0
1524	IGHV1-69D*01	IGHD6-19*01	IGHJ6*03	NA	22.0
1525	IGHV1-69D*01	NA	IGHJ1*01	NA	82.0
1526	IGHV1-69D*01	NA	IGHJ2*01	NA	254.0
1527	IGHV1-69D*01	NA	IGHJ3*01	NA	102.0
1528	IGHV1-69D*01	NA	IGHJ3*02	2.0	1738.0
1529	IGHV1-69D*01	NA	IGHJ4*01	NA	13.0
1530	IGHV1-69D*01	NA	IGHJ4*02	2.0	3053.0
1531	IGHV1-69D*01	NA	IGHJ4*03	NA	46.0
1532	IGHV1-69D*01	NA	IGHJ5*01	NA	1.0
1533	IGHV1-69D*01	NA	IGHJ5*02	NA	661.0
1534	IGHV1-69D*01	NA	IGHJ6*01	NA	11.0
1535	IGHV1-69D*01	NA	IGHJ6*02	2.0	939.0
1536	IGHV1-69D*01	NA	IGHJ6*03	NA	1838.0
1537	IGHV1-69D*01	NA	IGHJ6*04	NA	216.0
1538	IGHV1-8*01	IGHD1-26*01	IGHJ3*02	NA	2.0
1539	IGHV1-8*01	IGHD2-15*01	IGHJ4*02	NA	3.0
1540	IGHV1-8*01	IGHD2-15*01	IGHJ5*02	NA	52.0
1541	IGHV1-8*01	IGHD2-15*01	IGHJ6*03	NA	2.0
1542	IGHV1-8*01	IGHD2-2*02	IGHJ5*02	NA	1.0
1543	IGHV1-8*01	IGHD2-2*03	IGHJ1*01	NA	1.0
1544	IGHV1-8*01	IGHD2-2*03	IGHJ4*02	NA	5.0
1545	IGHV1-8*01	IGHD2-2*03	IGHJ5*02	NA	8.0
1546	IGHV1-8*01	IGHD2-2*03	IGHJ6*02	NA	1.0
1547	IGHV1-8*01	IGHD2-21*02	IGHJ6*02	NA	1.0
1548	IGHV1-8*01	IGHD3-10*01	IGHJ2*01	NA	2.0
1549	IGHV1-8*01	IGHD3-10*01	IGHJ3*02	NA	17.0
1550	IGHV1-8*01	IGHD3-10*01	IGHJ4*02	NA	103.0
1551	IGHV1-8*01	IGHD3-10*01	IGHJ5*02	NA	41.0
1552	IGHV1-8*01	IGHD3-10*01	IGHJ6*02	NA	1.0
1553	IGHV1-8*01	IGHD3-10*01	IGHJ6*03	NA	13.0
1554	IGHV1-8*01	IGHD3-10*02	IGHJ6*02	NA	1.0
1555	IGHV1-8*01	IGHD3-16*02	IGHJ4*02	NA	10.0
1556	IGHV1-8*01	IGHD3-16*02	IGHJ5*02	NA	1.0
