	v	d	j	frequency
85	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ5*02|Homo	24
86	AC245166|IGHV3-23D*02|Homo	NA	X86355|IGHJ4*02|Homo	24
87	Z14214|IGHV1-69*13|Homo	NA	X86355|IGHJ6*02|Homo	23
88	L21972|IGHV2-5*09|Homo	NA	J00256|IGHJ5*01|Homo	23
89	AC245166|IGHV3-23D*02|Homo	NA	J00256|IGHJ2*01|Homo	23
90	Z14307|IGHV1-69*09|Homo	NA	J00256|IGHJ5*01|Homo	23
91	X62107|IGHV1-3*02|Homo	NA	AJ879487|IGHJ6*04|Homo	23
92	L21972|IGHV2-5*09|Homo	NA	J00256|IGHJ3*01|Homo	23
93	L10089|IGHV4-30-2*01|Homo	NA	X86355|IGHJ6*02|Homo	23
94	Z29977|IGHV1-69-2*02|Homo	NA	AJ879487|IGHJ6*04|Homo	23
95	KC713945|IGHV3-30-3*03|Homo	NA	AJ879487|IGHJ6*04|Homo	23
96	M99406|IGHV3-15*07|Homo	NA	X86356|IGHJ6*03|Homo	23
97	Z14307|IGHV1-69*09|Homo	NA	X86355|IGHJ6*02|Homo	23
98	HM855392|IGHV3-43*02|Homo	NA	J00256|IGHJ6*01|Homo	23
99	AC245166|IGHV3-23D*02|Homo	NA	J00256|IGHJ3*01|Homo	23
100	KC713945|IGHV3-30-3*03|Homo	NA	J00256|IGHJ3*01|Homo	22
101	KC713948|IGHV1-69*14|Homo	NA	X86355|IGHJ4*02|Homo	22
102	M77305|IGHV3-33*03|Homo	NA	M25625|IGHJ4*03|Homo	22
103	KC713936|IGHV4-28*07|Homo	NA	J00256|IGHJ1*01|Homo	22
104	L21967|IGHV2-70*11|Homo	NA	M25625|IGHJ4*03|Homo	22
105	AC245243|IGHV3-30-5*02|Homo	NA	X86355|IGHJ6*02|Homo	22
106	AC244456|IGHV3-30-3*01|Homo	NA	X86355|IGHJ5*02|Homo	22
107	M99406|IGHV3-15*07|Homo	NA	J00256|IGHJ1*01|Homo	22
108	M99686|IGHV5-51*01|Homo	NA	J00256|IGHJ3*01|Homo	22
109	AC245243|IGHV3-30-5*02|Homo	NA	X86356|IGHJ6*03|Homo	22
110	KC713948|IGHV1-69*14|Homo	NA	X86356|IGHJ6*03|Homo	22
111	AC244456|IGHV3-30-5*01|Homo	NA	M25625|IGHJ4*03|Homo	22
112	KC713935|IGHV2-70D*04|Homo	NA	X86355|IGHJ6*02|Homo	22
113	AC244456|IGHV3-30-5*01|Homo	NA	J00256|IGHJ3*01|Homo	22
114	X92245|IGHV2-70*08|Homo	NA	M25625|IGHJ4*03|Homo	22
115	HM855939|IGHV3-NL1*01|Homo	NA	J00256|IGHJ5*01|Homo	22
116	KC713936|IGHV4-28*07|Homo	NA	X86355|IGHJ6*02|Homo	22
117	AC245243|IGHV3-30-5*02|Homo	NA	J00256|IGHJ2*01|Homo	22
118	AC244492|IGHV3-23D*01|Homo	NA	J00256|IGHJ6*01|Homo	22
119	AM940221|IGHV3-49*05|Homo	NA	J00256|IGHJ5*01|Homo	22
120	X70208|IGHV3-66*04|Homo	NA	X86356|IGHJ6*03|Homo	22
121	Z14307|IGHV1-69*09|Homo	NA	J00256|IGHJ2*01|Homo	22
122	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ6*02|Homo	22
123	M18806|IGHV5-51*02|Homo	NA	X86355|IGHJ5*02|Homo	21
124	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ4*02|Homo	21
125	M77334|IGHV3-33*05|Homo	NA	X86355|IGHJ5*02|Homo	21
126	M99403|IGHV3-15*05|Homo	NA	X86355|IGHJ6*02|Homo	21
127	AM940223|IGHV3-23*03|Homo	NA	X86355|IGHJ5*02|Homo	21
128	L21972|IGHV2-5*09|Homo	NA	J00256|IGHJ6*01|Homo	21
129	X92230|IGHV4-61*03|Homo	NA	J00256|IGHJ1*01|Homo	21
130	KC713938|IGHV1-18*04|Homo	NA	J00256|IGHJ2*01|Homo	21
131	KC713936|IGHV4-28*07|Homo	NA	X86356|IGHJ6*03|Homo	21
132	AC244492|IGHV3-23D*01|Homo	NA	M25625|IGHJ4*03|Homo	21
133	M99402|IGHV3-15*04|Homo	NA	AJ879487|IGHJ6*04|Homo	21
134	KC713945|IGHV3-30-3*03|Homo	NA	J00256|IGHJ6*01|Homo	21
135	X56368|IGHV5-51*03|Homo	NA	X86355|IGHJ5*02|Homo	21
136	KC713945|IGHV3-30-3*03|Homo	NA	J00256|IGHJ4*01|Homo	21
137	L21972|IGHV2-5*09|Homo	NA	J00256|IGHJ4*01|Homo	21
138	Z27449|IGHV5-51*05|Homo	NA	X86356|IGHJ6*03|Homo	21
139	KC713936|IGHV4-28*07|Homo	NA	J00256|IGHJ2*01|Homo	21
140	Z27449|IGHV5-51*05|Homo	NA	AJ879487|IGHJ6*04|Homo	21
141	X92250|IGHV4-61*04|Homo	NA	X86355|IGHJ5*02|Homo	21
142	X92227|IGHV5-10-1*01|Homo	NA	J00256|IGHJ5*01|Homo	21
143	X05713|IGHV4-4*01|Homo	NA	X86355|IGHJ5*02|Homo	21
144	M99402|IGHV3-15*04|Homo	NA	X86355|IGHJ6*02|Homo	21
145	KC713948|IGHV1-69*14|Homo	NA	AJ879487|IGHJ6*04|Homo	21
146	X92273|IGHV4-31*09|Homo	NA	X86355|IGHJ5*02|Homo	21
147	KC713941|IGHV3-64D*06|Homo	NA	J00256|IGHJ4*01|Homo	21
148	X92288|IGHV3-7*02|Homo	NA	J00256|IGHJ2*01|Homo	21
149	X70208|IGHV3-66*04|Homo	NA	X86355|IGHJ5*02|Homo	21
