	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
126	IGHV14-1*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	6.0	2.0	5.0	NA
127	IGHV14-1*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
128	IGHV14-1*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA
129	IGHV14-1*01	NA	IGHJ2-1*01	14.0	60.0	27.0	109.0	37.0	7.0	196.0	108.0	305.0	268.0	566.0	555.0	1494.0	1119.0
130	IGHV14-1*01	NA	IGHJ2-2*01	27.0	80.0	36.0	53.0	67.0	89.0	655.0	238.0	310.0	1076.0	321.0	591.0	1188.0	115.0
131	IGHV14-1*01	NA	IGHJ2-3*01	1.0	26.0	6.0	9.0	12.0	3.0	39.0	53.0	63.0	13.0	59.0	72.0	132.0	96.0
132	IGHV14-1*01	NA	IGHJ2-4*01	20.0	75.0	27.0	166.0	37.0	16.0	434.0	504.0	189.0	2661.0	428.0	894.0	1036.0	39.0
133	IGHV14-1*01	NA	IGHJ2-5*01	6.0	23.0	16.0	35.0	13.0	4.0	202.0	109.0	91.0	76.0	71.0	190.0	187.0	14.0
134	IGHV2-1*01	IGHD2-1*01	IGHJ2-1*01	5.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
135	IGHV2-1*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA	9.0	1.0
136	IGHV2-1*01	IGHD2-3*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
137	IGHV2-1*01	IGHD2-3*01	IGHJ2-4*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0	NA
138	IGHV2-1*01	IGHD2-4*01	IGHJ2-1*01	1.0	4.0	NA	1.0	NA	NA	2.0	4.0	NA	NA	NA	5.0	NA	3.0
139	IGHV2-1*01	IGHD2-4*01	IGHJ2-4*01	3.0	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
140	IGHV2-1*01	IGHD2-5*01	IGHJ2-1*01	16.0	5.0	6.0	NA	3.0	NA	NA	NA	9.0	2.0	11.0	6.0	12.0	NA
